Metric,YOLO,RF-DETR,Delta,Winner
mAP_50_95,0.0004,0.0652,+0.0649,RF-DETR
mAP_50,0.0007,0.1507,+0.1500,RF-DETR
mAP_75,0.0004,0.0546,+0.0542,RF-DETR
AR_100,0.0080,0.1085,+0.1004,RF-DETR

Class,YOLO_AP50,RF-DETR_AP50,Delta,Winner
IPH,0.0000,0.2224,+0.2224,RF-DETR
IVH,0.0000,0.0627,+0.0627,RF-DETR
SAH,0.0028,0.2979,+0.2951,RF-DETR
SDH,0.0000,0.0198,+0.0198,RF-DETR
